nodes,total,in_o0,in_o1,in_o2,exec_o0,exec_o1,exec_o2,out_o0,out_o1,out_o2,critical_path,openmm_stor,aggregate_stor,training_stor,inference_stor,in_openmm,read_openmm,write_openmm,out_openmm,in_aggregate,read_aggregate,write_aggregate,out_aggregate,in_training,read_training,write_training,out_training,in_inference,read_inference,write_inference,out_inference,lam_read_beegfs,lam_write_beegfs,lam_read_ssd,lam_write_ssd,lam_read_tmpfs,lam_write_tmpfs,lam_in_total,lam_out_total,exec_beegfs_share,exec_local_share,movement_share,region_provisional,region
1,4.978731761431526,0.1954343015518247,0.0,0.0,0.0411028549313716,2.318467855314847,0.4303109022903254,1.882183256835498,0.0,0.1112325905076594,stage_in_openmm(6)->read_openmm(12)->write_openmm(12)->stage_out_openmm(24)->read_training(1)->write_training(1)->read_inference(1)->write_inference(1)->stage_out_inference(4),tmpfs,tmpfs,tmpfs,tmpfs,0.195434,0.020551,0.020551,1.882183,0.0,0.249123,0.027999,0.0,0.0,0.598188,1.72028,0.0,0.0,0.215155,0.215155,0.111233,0.0,0.0,0.0,0.0,0.833894,1.955986,0.195434,1.9934159999999999,0.0,0.5603595722130792,0.4396400739955117,2,2
4,4.994904654850962,0.1954343015518247,0.0,0.0,0.0572757483508076,2.318467855314847,0.4303109022903254,1.882183256835498,0.0,0.1112325905076594,stage_in_openmm(6)->read_openmm(3)->write_openmm(3)->stage_out_openmm(24)->read_training(1)->write_training(1)->read_inference(1)->write_inference(1)->stage_out_inference(4),tmpfs,tmpfs,tmpfs,tmpfs,0.195434,0.028638,0.028638,1.882183,0.0,0.249123,0.027999,0.0,0.0,0.598188,1.72028,0.0,0.0,0.215155,0.215155,0.111233,0.0,0.0,0.0,0.0,0.8419810000000001,1.964073,0.195434,1.9934159999999999,0.0,0.5617832959582619,0.43821657293774163,2,2
2,5.000053121096604,0.1954343015518247,0.0,0.0,0.06242421459645,2.318467855314847,0.4303109022903254,1.882183256835498,0.0,0.1112325905076594,stage_in_openmm(6)->read_openmm(6)->write_openmm(6)->stage_out_openmm(24)->read_training(1)->write_training(1)->read_inference(1)->write_inference(1)->stage_out_inference(4),tmpfs,tmpfs,tmpfs,tmpfs,0.195434,0.031212,0.031212,1.882183,0.0,0.249123,0.027999,0.0,0.0,0.598188,1.72028,0.0,0.0,0.215155,0.215155,0.111233,0.0,0.0,0.0,0.0,0.8445550000000001,1.966647,0.195434,1.9934159999999999,0.0,0.5622344266980286,0.43776534908483267,2,2
1,5.713373915626097,0.1954343015518247,0.0,0.0,0.0411028549313716,2.318467855314847,1.2761856469925568,1.882183256835498,0.0,0.0,stage_in_openmm(6)->read_openmm(12)->write_openmm(12)->stage_out_openmm(24)->read_training(1)->write_training(1)->read_inference(1)->write_inference(1),tmpfs,tmpfs,tmpfs,beegfs,0.195434,0.020551,0.020551,1.882183,0.0,0.249123,0.027999,0.0,0.0,0.598188,1.72028,0.0,0.0,0.638093,0.638093,0.0,0.638093,0.638093,0.0,0.0,0.618739,1.740831,0.195434,1.882183,0.2233681916930736,0.4129906487559225,0.36364099929069,2,2
4,5.729546809045534,0.1954343015518247,0.0,0.0,0.0572757483508076,2.318467855314847,1.2761856469925568,1.882183256835498,0.0,0.0,stage_in_openmm(6)->read_openmm(3)->write_openmm(3)->stage_out_openmm(24)->read_training(1)->write_training(1)->read_inference(1)->write_inference(1),tmpfs,tmpfs,tmpfs,beegfs,0.195434,0.028638,0.028638,1.882183,0.0,0.249123,0.027999,0.0,0.0,0.598188,1.72028,0.0,0.0,0.638093,0.638093,0.0,0.638093,0.638093,0.0,0.0,0.6268260000000001,1.748918,0.195434,1.882183,0.222737686335854,0.41464780360095405,0.36261454339104016,2,2
2,5.734695275291176,0.1954343015518247,0.0,0.0,0.06242421459645,2.318467855314847,1.2761856469925568,1.882183256835498,0.0,0.0,stage_in_openmm(6)->read_openmm(6)->write_openmm(6)->stage_out_openmm(24)->read_training(1)->write_training(1)->read_inference(1)->write_inference(1),tmpfs,tmpfs,tmpfs,beegfs,0.195434,0.031212,0.031212,1.882183,0.0,0.249123,0.027999,0.0,0.0,0.598188,1.72028,0.0,0.0,0.638093,0.638093,0.0,0.638093,0.638093,0.0,0.0,0.6294000000000001,1.751492,0.195434,1.882183,0.22253771800193514,0.4151732368863656,0.3622889971070255,2,2
4,7.923327369942869,0.0,0.0,0.0211950940044729,0.2356868640346832,7.0939122031582516,0.4611885217184416,0.0386515502096744,0.0,0.0726931368173446,read_openmm(3)->write_openmm(3)->stage_out_openmm(24)->read_training(1)->write_training(1)->stage_in_inference(13)->read_inference(1)->write_inference(1)->stage_out_inference(13),beegfs,beegfs,beegfs,ssd,0.0,0.117843,0.117843,0.038652,0.0,0.740471,0.067429,0.0,0.0,1.846054,5.247858,0.0,0.021195,0.230594,0.230594,0.072693,1.963897,5.365701,0.230594,0.230594,0.0,0.0,0.021195,0.111345,0.9250656520647997,0.05820635428361294,0.016727820751515778,6,0
4,7.97656078498259,0.0,0.0532334150397215,0.0211950940044729,0.2356868640346832,7.0939122031582516,0.4611885217184416,0.0386515502096744,0.0,0.0726931368173446,read_openmm(3)->write_openmm(3)->stage_out_openmm(24)->stage_in_aggregate(16)->read_training(1)->write_training(1)->stage_in_inference(13)->read_inference(1)->write_inference(1)->stage_out_inference(13),beegfs,ssd,beegfs,ssd,0.0,0.117843,0.117843,0.038652,0.053233,0.268205,0.102143,0.0,0.0,1.846054,5.247858,0.0,0.021195,0.230594,0.230594,0.072693,1.963897,5.365701,0.230594,0.230594,0.0,0.0,0.074428,0.111345,0.9188920134349705,0.057817900776010796,0.023289862010420593,6,0
2,8.010211776105622,0.0,0.0,0.0211950940044729,0.3225712701974376,7.0939122031582516,0.4611885217184416,0.0386515502096744,0.0,0.0726931368173446,read_openmm(6)->write_openmm(6)->stage_out_openmm(24)->read_training(1)->write_training(1)->stage_in_inference(13)->read_inference(1)->write_inference(1)->stage_out_inference(13),beegfs,beegfs,beegfs,ssd,0.0,0.161286,0.161286,0.038652,0.0,0.740471,0.067429,0.0,0.0,1.846054,5.247858,0.0,0.021195,0.230594,0.230594,0.072693,2.00734,5.4091439999999995,0.230594,0.230594,0.0,0.0,0.021195,0.111345,0.9258786418259711,0.057575007114750866,0.01654637901027147,6,0
2,8.063445191145345,0.0,0.0532334150397215,0.0211950940044729,0.3225712701974376,7.0939122031582516,0.4611885217184416,0.0386515502096744,0.0,0.0726931368173446,read_openmm(6)->write_openmm(6)->stage_out_openmm(24)->stage_in_aggregate(16)->read_training(1)->write_training(1)->stage_in_inference(13)->read_inference(1)->write_inference(1)->stage_out_inference(13),beegfs,ssd,beegfs,ssd,0.0,0.161286,0.161286,0.038652,0.053233,0.268205,0.102143,0.0,0.0,1.846054,5.247858,0.0,0.021195,0.230594,0.230594,0.072693,2.00734,5.4091439999999995,0.230594,0.230594,0.0,0.0,0.074428,0.111345,0.9197661575406121,0.05719490727194177,0.023038911482151397,6,0
